#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2026-02-11-18-01-54
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]
1770832853.321047	CuYM4K1HHBiAqjSqK1	192.168.56.30	138	192.168.56.255	138	udp	-	-	-	-	S0	T	T	0	D	1	229	0	0	-
1770833307.774940	CTzOvjkAlASFdOOX	192.168.56.30	50151	192.168.56.10	8080	tcp	-	0.000335	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833308.145031	COsTaY352tlNyo36ue	192.168.56.30	50152	192.168.56.10	8080	tcp	-	0.000378	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833308.324295	CtfKjE2aYHNVY2tLac	192.168.56.30	50153	192.168.56.10	8080	tcp	-	0.000345	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833303.861994	CenUAe11ZjSw8efkak	192.168.56.30	50145	192.168.56.10	8080	tcp	-	0.002238	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833304.168191	C2wjpD3yS66Nq944X2	192.168.56.30	50146	192.168.56.10	8080	tcp	-	0.000325	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833308.681823	C9SZoM31CyjJPwiHNd	192.168.56.30	50152	192.168.56.10	8080	tcp	-	0.000304	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833308.828363	CJRITq3KN5oCqt3Lef	192.168.56.30	50153	192.168.56.10	8080	tcp	-	0.000654	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833309.188879	CjxpKy2pXj2mljuUn3	192.168.56.30	50152	192.168.56.10	8080	tcp	-	0.000307	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833309.347969	CNhQIo1RiNjmlxx2N4	192.168.56.30	50153	192.168.56.10	8080	tcp	-	0.000445	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833309.713914	CjjOYw1tGZYSHVtGy1	192.168.56.30	50152	192.168.56.10	8080	tcp	-	0.000557	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833309.877967	CoJBk83wdF94KQeH4	192.168.56.30	50153	192.168.56.10	8080	tcp	-	0.002245	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833310.299886	Cw0Qs94fTrfGXC5lP2	192.168.56.30	50154	192.168.56.10	8080	tcp	-	0.000259	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833310.430445	CUmMGw2NadKoFtnFVd	192.168.56.30	50155	192.168.56.10	8080	tcp	-	0.000626	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833305.942208	CaYpG1BP8QSRjn0lg	192.168.56.30	50148	192.168.56.10	8080	tcp	-	0.002403	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833306.193760	CHcc7O2FZXLfwIFjLh	192.168.56.30	50149	192.168.56.10	8080	tcp	-	0.002250	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833310.812403	CxSygn3FZMkj55iKA2	192.168.56.30	50154	192.168.56.10	8080	tcp	-	0.000597	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833310.939326	CQfF7b3TqALIe7ERe	192.168.56.30	50155	192.168.56.10	8080	tcp	-	0.000283	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833311.325965	CKwfBA4SwOJnha297b	192.168.56.30	50154	192.168.56.10	8080	tcp	-	0.006114	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833311.458709	CYyOif4XtgijBw5Rcj	192.168.56.30	50155	192.168.56.10	8080	tcp	-	0.000042	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833311.860280	CwzT9x2AFIwtiErlh6	192.168.56.30	50154	192.168.56.10	8080	tcp	-	0.000551	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833311.986128	CKnKL22vDC6kmKWfa	192.168.56.30	50155	192.168.56.10	8080	tcp	-	0.000799	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833312.382908	C5VPrW19e9y2aT8AY2	192.168.56.30	50156	192.168.56.10	8080	tcp	-	0.000283	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833312.583347	C8PD0w1ZEHQzYiwdM9	192.168.56.30	50157	192.168.56.10	8080	tcp	-	0.000539	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833308.111365	CD9otj2sHWuNFY5Psd	192.168.56.30	50150	192.168.56.10	8080	tcp	-	0.000225	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833308.297014	CDaFGk4zhLCq6YIG8j	192.168.56.30	50151	192.168.56.10	8080	tcp	-	0.000285	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833312.891458	Cd0FGW2Xsmzd3oLg5	192.168.56.30	50156	192.168.56.10	8080	tcp	-	0.000053	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833313.108415	C3LIx9qFknqGQvaXf	192.168.56.30	50157	192.168.56.10	8080	tcp	-	0.000988	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833313.404978	CTYZtT3GrlBWxGi3c5	192.168.56.30	50156	192.168.56.10	8080	tcp	-	0.000346	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833313.640847	CRyCin2SMqZFGnOKa5	192.168.56.30	50157	192.168.56.10	8080	tcp	-	0.000396	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833313.922947	CBXwO64OQYO90M5Id3	192.168.56.30	50156	192.168.56.10	8080	tcp	-	0.000456	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833314.141927	Cb0tdO3wOOFd2GvOMk	192.168.56.30	50157	192.168.56.10	8080	tcp	-	0.000503	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833314.459021	CTZrYI1VUWiNdax3R5	192.168.56.30	50158	192.168.56.10	8080	tcp	-	0.000728	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833314.661622	CnWSrRg1mcq2MJPzl	192.168.56.30	50159	192.168.56.10	8080	tcp	-	0.004063	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833310.235289	CMSUJVLsSYYgI2KV4	192.168.56.30	50152	192.168.56.10	8080	tcp	-	0.005636	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833310.390972	CZzK5IXxGbdf9rMhl	192.168.56.30	50153	192.168.56.10	8080	tcp	-	0.001187	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833314.983730	CGmM7a3pwSQ4BOjiL1	192.168.56.30	50158	192.168.56.10	8080	tcp	-	0.000464	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833315.167190	C85MsN2PoIls1lms95	192.168.56.30	50159	192.168.56.10	8080	tcp	-	0.000347	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833315.503339	Crw66rOLXaO4OxuP1	192.168.56.30	50158	192.168.56.10	8080	tcp	-	0.000275	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833315.671622	Cx2STz3nbErWbeZd3	192.168.56.30	50159	192.168.56.10	8080	tcp	-	0.000318	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833316.017731	Cx4VkL1SMG9Nuq9bM5	192.168.56.30	50158	192.168.56.10	8080	tcp	-	0.000789	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833316.184556	CkqBw31GOyj7v2vOKe	192.168.56.30	50159	192.168.56.10	8080	tcp	-	0.007051	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833316.558814	CVSpim1Bn9Tp1Y5jDe	192.168.56.30	50160	192.168.56.10	8080	tcp	-	0.000362	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833316.720728	C8cMLvfCMsYBlnXZd	192.168.56.30	50161	192.168.56.10	8080	tcp	-	0.000328	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833312.377301	Cfa0Ic2IaR3xEsL8If	192.168.56.30	50154	192.168.56.10	8080	tcp	-	0.003629	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833312.510770	CmAouly6nBmiwpepg	192.168.56.30	50155	192.168.56.10	8080	tcp	-	0.000765	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833317.067232	CMIhWt3qsJ4KGEmqOa	192.168.56.30	50160	192.168.56.10	8080	tcp	-	0.003233	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833317.236736	Clo51Arxn73Pxl9F9	192.168.56.30	50161	192.168.56.10	8080	tcp	-	0.000280	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833317.580766	CFIJjgY89HKPeCVTa	192.168.56.30	50160	192.168.56.10	8080	tcp	-	0.001269	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833317.738222	C7jTMDP4F25LJkSa	192.168.56.30	50161	192.168.56.10	8080	tcp	-	0.000426	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833318.180062	CDhFqw2nNgAVC82w7j	192.168.56.30	50160	192.168.56.10	8080	tcp	-	0.005852	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833318.392928	CXdX3o2QvbDE7wvhol	192.168.56.30	50161	192.168.56.10	8080	tcp	-	0.000095	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833318.720454	CWXEgdFrgs1p5wXJ3	192.168.56.30	50162	192.168.56.10	8080	tcp	-	0.000378	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833314.425037	C60T0ma6wETZ0zNQ8	192.168.56.30	50156	192.168.56.10	8080	tcp	-	0.000505	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833318.941477	CWDdyI108yJT9wD3a8	192.168.56.30	50163	192.168.56.10	8080	tcp	-	0.000359	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833314.658961	CGbwEe4HRvcCgY1qI7	192.168.56.30	50157	192.168.56.10	8080	tcp	-	0.000552	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833319.233837	CpvYQQ1E1H3OuSv852	192.168.56.30	50162	192.168.56.10	8080	tcp	-	0.000703	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833319.462077	CLpCAb2G95ElphtIGf	192.168.56.30	50163	192.168.56.10	8080	tcp	-	0.000283	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833319.747463	CBgKRO1Cxt6nMxpDc5	192.168.56.30	50162	192.168.56.10	8080	tcp	-	0.000487	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833319.963795	CCFiNV1OBr2Tiec5Ol	192.168.56.30	50163	192.168.56.10	8080	tcp	-	0.000325	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833320.275969	CFjdCU15Buqk62AHx1	192.168.56.30	50162	192.168.56.10	8080	tcp	-	0.000206	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833320.485603	CDNVBw3u8hJQ9lW2T8	192.168.56.30	50163	192.168.56.10	8080	tcp	-	0.000381	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833320.859897	Cq3SLKsZILAT98e9i	192.168.56.30	50164	192.168.56.10	8080	tcp	-	0.001002	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833316.528350	CKKQCA1d8h686fKdp3	192.168.56.30	50158	192.168.56.10	8080	tcp	-	0.000265	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833321.067401	CkFg5k1tkGAVjRJIC	192.168.56.30	50165	192.168.56.10	8080	tcp	-	0.000734	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833316.699281	CRU9cu1imgkLqDJ2M3	192.168.56.30	50159	192.168.56.10	8080	tcp	-	0.000250	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833321.381566	CL0BansKP0vOS9rA2	192.168.56.30	50164	192.168.56.10	8080	tcp	-	0.000415	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833321.603510	CJGhxx46rceDmmX8aj	192.168.56.30	50165	192.168.56.10	8080	tcp	-	0.001052	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833321.916475	CV2tHD4OF7p0AIMmm2	192.168.56.30	50164	192.168.56.10	8080	tcp	-	0.000545	0	0	REJ	T	T	0	Sr	1	52	1	40	-
192.168.56.30	50162	192.168.56.10	8080	tcp	-	0.000378	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833314.425037	C60T0ma6wETZ0zNQ8	192.168.56.30	50156	192.168.56.10	8080	tcp	-	0.000505	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833318.941477	CWDdyI108yJT9wD3a8	192.168.56.30	50163	192.168.56.10	8080	tcp	-	0.000359	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833314.658961	CGbwEe4HRvcCgY1qI7	192.168.56.30	50157	192.168.56.10	8080	tcp	-	0.000552	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833319.233837	CpvYQQ1E1H3OuSv852	192.168.56.30	50162	192.168.56.10	8080	tcp	-	0.000703	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833319.462077	CLpCAb2G95ElphtIGf	192.168.56.30	50163	192.168.56.10	8080	tcp	-	0.000283	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833319.747463	CBgKRO1Cxt6nMxpDc5	192.168.56.30	50162	192.168.56.10	8080	tcp	-	0.000487	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833319.963795	CCFiNV1OBr2Tiec5Ol	192.168.56.30	50163	192.168.56.10	8080	tcp	-	0.000325	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833320.275969	CFjdCU15Buqk62AHx1	192.168.56.30	50162	192.168.56.10	8080	tcp	-	0.000206	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833320.485603	CDNVBw3u8hJQ9lW2T8	192.168.56.30	50163	192.168.56.10	8080	tcp	-	0.000381	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833320.859897	Cq3SLKsZILAT98e9i	192.168.56.30	50164	192.168.56.10	8080	tcp	-	0.001002	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833316.528350	CKKQCA1d8h686fKdp3	192.168.56.30	50158	192.168.56.10	8080	tcp	-	0.000265	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833321.067401	CkFg5k1tkGAVjRJIC	192.168.56.30	50165	192.168.56.10	8080	tcp	-	0.000734	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833316.699281	CRU9cu1imgkLqDJ2M3	192.168.56.30	50159	192.168.56.10	8080	tcp	-	0.000250	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833321.381566	CL0BansKP0vOS9rA2	192.168.56.30	50164	192.168.56.10	8080	tcp	-	0.000415	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833321.603510	CJGhxx46rceDmmX8aj	192.168.56.30	50165	192.168.56.10	8080	tcp	-	0.001052	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833321.916475	CV2tHD4OF7p0AIMmm2	192.168.56.30	50164	192.168.56.10	8080	tcp	-	0.000545	0	0	REJ	T	T	0	Sr	1	52	1	40	-
